,question,right_answer,right_chunk,rag_answer,rag_chunks,rag_metas,type,normalized_right_chunk,multiple_chunks,top1,topk,retriv_semantic_sim,exact_match,f1,gen_sim
43,What excuse did BoJack give Charlie Rose for being late?,The traffic.,BOJACK: Sorry I was late. The traffic-,There is no mention of BoJack being late in the context.,"['ENT: Charlie Rose interviewing BoJack', ""BOJACK: That's a great question, Charlie."", ""CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight."", ""CHARLIE ROSE: Please don't."", 'BOJACK: What?']","[{'role': 'ENT', 'chunk': 0, 'tokens': 7, 'source_para': 11}, {'source_para': 35, 'tokens': 12, 'chunk': 0, 'role': 'BOJACK'}, {'chunk': 0, 'role': 'CHARLIE ROSE', 'tokens': 84, 'source_para': 14}, {'source_para': 28, 'tokens': 10, 'role': 'CHARLIE ROSE', 'chunk': 0}, {'source_para': 184, 'chunk': 0, 'role': 'BOJACK', 'tokens': 6}]",Character Identity & Core Facts,"['BOJACK: It is good to be here, Charlie. Sorry I was late. The traffic-']",False,0,0,0.419797420501709,0,0.15384615384615385,-0.026651684194803238
44,What type of parking spot did BoJack use at the interview?,A handicapped (or disabled) spot.,BOJACK: I parked in a handicapped spot. ... disabled spot. Is that the proper nomenclature?,A handicapped parking spot.,"[""BOJACK: I parked in a handicapped spot. I hope that's okay."", ""BOJACK: Okay, jeez. But I'm not looking for parking in Silver Lake."", 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: What guy?']","[{'role': 'BOJACK', 'chunk': 0, 'tokens': 18, 'source_para': 18}, {'source_para': 227, 'chunk': 0, 'tokens': 21, 'role': 'BOJACK'}, {'chunk': 0, 'role': 'BOJACK', 'tokens': 6, 'source_para': 184}, {'chunk': 0, 'source_para': 223, 'tokens': 6, 'role': 'BOJACK'}, {'role': 'BOJACK', 'chunk': 0, 'source_para': 402, 'tokens': 7}]",Character Identity & Core Facts,"[""BOJACK: I'm sorry, disabled spot. Is that the proper nomenclature?""]",False,0,0,0.41832536458969116,0,0.6666666666666665,0.7718415856361389
45,Why did BoJack say he shouldn't move his car?,Because he was incredibly drunk.,"BOJACK: No, I don't think I should drive right now. I'm incredibly drunk.","There is no information provided in the context about BoJack saying he shouldn't move his car. The context only shows BoJack repeating ""What?"" multiple times and expressing frustration with someone, but it doesn't mention moving his car.","['BOJACK: What?', 'BOJACK: What?', ""BOJACK:  Ah, you don't get it."", 'BOJACK: What actions?', 'BOJACK: Ugh, this guy.']","[{'source_para': 184, 'tokens': 6, 'role': 'BOJACK', 'chunk': 0}, {'chunk': 0, 'source_para': 223, 'tokens': 6, 'role': 'BOJACK'}, {'chunk': 0, 'tokens': 13, 'role': 'BOJACK', 'source_para': 102}, {'source_para': 146, 'tokens': 7, 'role': 'BOJACK', 'chunk': 0}, {'tokens': 10, 'role': 'BOJACK', 'source_para': 444, 'chunk': 0}]",Character Identity & Core Facts,"[""BOJACK: No, I don't think I should drive right now. I'm incredibly drunk.""]",False,0,0,0.11892325431108475,0,0.047619047619047616,0.22299179434776306
46,Does BoJack think Horsin' Around is like Ibsen?,"No, he admits it's not Ibsen.","BOJACK: It's not Ibsen, sure, but look","Yes, BoJack thinks 'Horsin' Around' is like Ibsen, as he compares himself to Ibsen in the context of not wanting to talk to a gossip site, implying that 'Horsin' Around' is a work worthy of Ibsen's level.","[""Bojack is drinking a beer and watching a rerun of 'Horsin' Around; his cell phone rings and he ignores it"", 'BOJACK: No?', ""BOJACK: A gossip site? I'm not talking to them! That's beneath me. Ibsen wouldn't talk to a gossip site!"", 'BOJACK: What?', 'BOJACK: What?']","[{'source_para': 91, 'role': 'UNKNOWN', 'tokens': 27, 'chunk': 0}, {'source_para': 437, 'role': 'BOJACK', 'chunk': 0, 'tokens': 6}, {'source_para': 507, 'chunk': 0, 'role': 'BOJACK', 'tokens': 31}, {'role': 'BOJACK', 'source_para': 184, 'tokens': 6, 'chunk': 0}, {'role': 'BOJACK', 'source_para': 223, 'tokens': 6, 'chunk': 0}]",Character Identity & Core Facts,"[""It's not Ibsen, sure, but look""]",False,0,0,0.5349587202072144,0,0.09302325581395349,0.5509270429611206
47,What does BoJack say happens at the end of 30 minutes in his show?,Everything is going to turn out okay.,"BOJACK: at the end of 30 minutes, everything's gonna turn out okay.","Unfortunately, the context doesn't provide any information about what happens at the end of 30 minutes in BoJack's show. The dialogue appears to be BoJack asking questions about something, possibly a conversation or a scene from a show, but it doesn't provide a clear answer to the question.","['BOJACK: What?', 'BOJACK: What?', 'BOJACK: What guy?', 'BOJACK: What actions?', ""BOJACK:  Ah, you don't get it.""]","[{'chunk': 0, 'source_para': 184, 'tokens': 6, 'role': 'BOJACK'}, {'tokens': 6, 'chunk': 0, 'source_para': 223, 'role': 'BOJACK'}, {'tokens': 7, 'role': 'BOJACK', 'source_para': 402, 'chunk': 0}, {'role': 'BOJACK', 'tokens': 7, 'source_para': 146, 'chunk': 0}, {'source_para': 102, 'role': 'BOJACK', 'chunk': 0, 'tokens': 13}]",Character Identity & Core Facts,"[""BOJACK: Oh, everything's my fault.""]",False,0,0,0.2032981812953949,0,0.03636363636363636,0.02695859596133232
48,What ingredients are in BoJack's morning smoothie?,"Carrots, vitamins, and vodka.","Bojack prepares himself a smoothie of carrots, vitamins,and vodka for breakfast","Based on the context, the ingredients in BoJack's morning smoothie are not explicitly stated. However, it is mentioned that the smoothie contains peanut butter, as BoJack says ""It's peanut butter"" in response to the question of how many flavors he needs.","['Bojack prepares himself a smoothie of', 'BOJACK: What does that taste like? Disappointment?', ""BOJACK: How many flavors do you need, man? It's peanut butter."", 'BOJACK: Have you tried alcohol?', 'MR. PEANUTBUTTER: BoJack, buddy! I need your opinion on a flavor. A new flavor of my peanut butter brand!']","[{'chunk': 0, 'source_para': 51, 'role': 'UNKNOWN', 'tokens': 8}, {'chunk': 0, 'source_para': 519, 'tokens': 13, 'role': 'BOJACK'}, {'role': 'BOJACK', 'chunk': 0, 'source_para': 517, 'tokens': 18}, {'tokens': 9, 'chunk': 0, 'role': 'BOJACK', 'source_para': 400}, {'role': 'UNKNOWN', 'tokens': 31, 'chunk': 0, 'source_para': 516}]",Character Identity & Core Facts,['Bojack prepares himself a smoothie of'],False,1,1,1.0,0,0.0,0.21169349551200867
49,What happened to BoJack's Toaster Strudels?,Todd got high and ate them all.,"TODD: Also, if you're looking for the Toaster Strudels, I got really high last night and ate them all.",UNKNOWN ate all of BoJack's Toaster Strudels after getting really high the night before.,"[""TOD: That's on you for making assumptions. Also, if you're looking for the Toaster Strudels, I got really high last night and ate them all."", 'Bojack grabs another piece of bread', 'Flashback to Bojack puking on someone', 'Flashback to Bojack struggling to make his own cereal', 'BOJACK: What?']","[{'chunk': 0, 'tokens': 36, 'source_para': 59, 'role': 'TOD'}, {'chunk': 0, 'tokens': 7, 'role': 'UNKNOWN', 'source_para': 122}, {'tokens': 10, 'chunk': 0, 'role': 'UNKNOWN', 'source_para': 217}, {'chunk': 0, 'source_para': 430, 'tokens': 11, 'role': 'UNKNOWN'}, {'tokens': 6, 'chunk': 0, 'source_para': 223, 'role': 'BOJACK'}]",Plot & Motivation,"[""TOD: That's on you for making assumptions. Also, if you're looking for the Toaster Strudels, I got really high last night and ate them all.""]",False,1,1,1.0,0,0.19047619047619047,0.4572620987892151
50,How much money does Pinky say is in the bank?,There is a lack of money in it.,PINKY: Just an issue with the bank and a lack of money in it.,Zero dollars.,"[""PINKY: Call her. That's a loan, by the way."", 'PINKY: Then why did we spend $20 million on marketing?', 'PINKY: Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines.', ""PINKY: We bet the farm on the 'Swamp Monsters of Malibu' franchise, BoJack! We spent $20 million on marketing, and now I'm selling branded slap bracelets to pay the water bill."", ""PINKY: Don't tell me. Tell her!""]","[{'role': 'PINKY', 'tokens': 16, 'source_para': 286, 'chunk': 0}, {'role': 'PINKY', 'source_para': 260, 'tokens': 15, 'chunk': 0}, {'role': 'PINKY', 'source_para': 69, 'chunk': 0, 'tokens': 41}, {'chunk': 0, 'source_para': 503, 'tokens': 45, 'role': 'PINKY'}, {'role': 'PINKY', 'chunk': 0, 'tokens': 12, 'source_para': 284}]",Plot & Motivation,"['PINKY: Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines.']",False,0,1,1.0,0,0.0,0.3914923071861267
51,What was BoJack actually doing in the flashback when he should have been writing?,"Lazily speaking ""Chapter one"" into a tape recorder all day.",Flashback to Bojack in his office lazily speaking into a tape recorder. ... BOJACK: Chapter one. Chapter one. Chapter One.,Puking on someone.,"[""Flashback to Bojack in his office lazily speaking into a tape recorder. A whole day goes by and he hasn't gotten anywhere"", 'BOJACK: What actions?', 'Flashback to Bojack puking on someone', 'BOJACK: What?', 'BOJACK: What?']","[{'tokens': 27, 'source_para': 71, 'chunk': 0, 'role': 'UNKNOWN'}, {'source_para': 146, 'tokens': 7, 'role': 'BOJACK', 'chunk': 0}, {'chunk': 0, 'role': 'UNKNOWN', 'source_para': 217, 'tokens': 10}, {'source_para': 184, 'tokens': 6, 'chunk': 0, 'role': 'BOJACK'}, {'tokens': 6, 'chunk': 0, 'source_para': 223, 'role': 'BOJACK'}]",Plot & Motivation,"[""Flashback to Bojack in his office lazily speaking into a tape recorder. A whole day goes by and he hasn't gotten anywhere""]",False,1,1,1.0,0,0.0,0.12859578430652618
52,What did BoJack mistake for a book in the park?,A takeout menu.,"BOJACK: I thought I saw someone reading one in the park the other day, but it turned out it was a takeout menu.","Based on the context, it's not explicitly stated that BoJack mistook something for a book in the park. However, the conversation seems to be a monologue of BoJack having a self-deprecating conversation with himself, expressing doubts about his ability to write a book about his life.","['BOJACK: What?', 'BOJACK: What?', 'BOJACK: Why did I say I could write a book?', 'BOJACK: What actions?', 'BOJACK: I can see the headline now, ""Stupid BoJack writes a stupid book about his stupid life, nobody cares.""']","[{'tokens': 6, 'source_para': 184, 'chunk': 0, 'role': 'BOJACK'}, {'role': 'BOJACK', 'source_para': 223, 'chunk': 0, 'tokens': 6}, {'tokens': 14, 'role': 'BOJACK', 'chunk': 0, 'source_para': 291}, {'role': 'BOJACK', 'source_para': 146, 'chunk': 0, 'tokens': 7}, {'source_para': 308, 'tokens': 28, 'role': 'BOJACK', 'chunk': 0}]",Character Identity & Core Facts,"['BOJACK: I thought I saw someone reading one in the park the other day, but it turned out it was a takeout menu.']",False,0,0,0.1575629711151123,0,0.04081632653061224,0.012076448649168015
53,Where is Pinky from?,Cincinnati.,PINKY: I'm from Cincinnati.,Pinky is from Cincinnati.,"['PINKY: Thanks for meeting me here.', ""PINKY: She's great, and she's got a thing for horses. Check this out."", ""PINKY: I'm from Cincinnati. It -  that doesn't matter. I'll call you in a week."", ""PINKY: Don't tell me. Tell her!"", 'PINKY: Yeah, a publishing house. When was the last time you saw a book?']","[{'chunk': 0, 'tokens': 10, 'role': 'PINKY', 'source_para': 66}, {'role': 'PINKY', 'tokens': 21, 'source_para': 277, 'chunk': 0}, {'role': 'PINKY', 'source_para': 88, 'tokens': 25, 'chunk': 0}, {'role': 'PINKY', 'chunk': 0, 'source_para': 284, 'tokens': 12}, {'source_para': 78, 'role': 'PINKY', 'chunk': 0, 'tokens': 20}]",Character Identity & Core Facts,"[""PINKY: I'm from Cincinnati. It -  that doesn't matter. I'll call you in a week.""]",False,0,1,1.0000001192092896,0,0.4,0.509695291519165
54,How long did BoJack ask for to produce pages for Pinky?,One week.,"BOJACK: Look, just give me one more week, and I will give you some pages","There's no information provided in the context about BoJack asking Pinky how long it would take to produce pages. The conversation is about BoJack's uncertainty and reluctance about writing a book, but no specific time frame is mentioned.","['PINKY: Yeah, a publishing house. When was the last time you saw a book?', 'BOJACK: What?', 'BOJACK: What?', ""BOJACK: We haven't even ordered yet."", 'BOJACK: Why did I say I could write a book?']","[{'chunk': 0, 'tokens': 20, 'source_para': 78, 'role': 'PINKY'}, {'tokens': 6, 'chunk': 0, 'source_para': 184, 'role': 'BOJACK'}, {'role': 'BOJACK', 'source_para': 223, 'chunk': 0, 'tokens': 6}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 11, 'source_para': 191}, {'source_para': 291, 'tokens': 14, 'role': 'BOJACK', 'chunk': 0}]",Plot & Motivation,"[""BOJACK: Ugh, no, thank you. Look, just give me one more week, and I will give you some pages that'll knock your ass back to the South Pole.""]",False,0,0,0.2529659569263458,0,0.0,0.278449147939682
55,What line did BoJack claim to improvise in the rerun?,"""Neigh way, Jose.""","BOJACK: ""Neigh way, Jose."" I improvised that line.","Unfortunately, there's no information provided about a rerun in the context.","['BOJACK: What?', 'BOJACK: What?', 'BOJACK: No?', 'BOJACK: What actions?', 'BOJACK: Oh, jeez, here we go.']","[{'chunk': 0, 'tokens': 6, 'role': 'BOJACK', 'source_para': 184}, {'role': 'BOJACK', 'source_para': 223, 'tokens': 6, 'chunk': 0}, {'source_para': 437, 'tokens': 6, 'role': 'BOJACK', 'chunk': 0}, {'source_para': 146, 'tokens': 7, 'chunk': 0, 'role': 'BOJACK'}, {'chunk': 0, 'source_para': 163, 'role': 'BOJACK', 'tokens': 14}]",Character Identity & Core Facts,"['BOJACK: [laughs] ""Neigh way, Jose."" I improvised that line.']",False,0,0,0.218142569065094,0,0.0,0.053820908069610596
56,How many orphans are mentioned in the Horsin' Around theme song lyrics?,Three little orphans.,"[cheerful music on TV] Three little orphans One, two, three",Three little orphans are mentioned in the Horsin' Around theme song lyrics.,"['Three little orphans One, two, three Without a home Or a family tree', 'Until this horse said ""Live with me"" And now we\'ve got A new family We were lost And now we\'re found And we\'re Horsin\' around [neighs]', ""CHARLIE ROSE: Yes. Anyway, we were talking about Horsin' Around."", ""STRANGER: Hey, aren't you the horse from Horsin' Around?"", 'BOJACK: The page count is a subtle commentary on the overwhelming nature of modern life. The syllables are just bad branding.']","[{'source_para': 103, 'tokens': 16, 'role': 'UNKNOWN', 'chunk': 0}, {'chunk': 0, 'role': 'UNKNOWN', 'tokens': 38, 'source_para': 104}, {'role': 'CHARLIE ROSE', 'chunk': 0, 'source_para': 25, 'tokens': 20}, {'source_para': 218, 'chunk': 0, 'tokens': 17, 'role': 'STRANGER'}, {'role': 'BOJACK', 'chunk': 0, 'source_para': 487, 'tokens': 27}]",Character Identity & Core Facts,"['Three little orphans One, two, three Without a home Or a family tree']",False,1,1,1.0000001192092896,0,0.26666666666666666,0.6907216906547546
57,"What does ""neigh"" mean according to BoJack's explanation to Todd?","It means ""no,"" but it's also a thing horses say.","BOJACK: Because ""nay"" means no, but it's also a thing that horses say.","According to BoJack's explanation to Todd, ""neigh"" is an improvisation of the phrase ""no way"".","['TODD: Today is Wednesday, BoJack.', 'BOJACK: Todd! I need help.', 'BOJACK ON TV: Neigh way, Jose.', 'BOJACK: [laughs] ""Neigh way, Jose."" I improvised that line.', ""TODD: Hey, BoJack, guess what I found in the mail? A personalized letter from my parents! Maybe they're finally apologizing for kicking me out!""]","[{'tokens': 11, 'role': 'TODD', 'source_para': 530, 'chunk': 0}, {'chunk': 0, 'tokens': 10, 'source_para': 431, 'role': 'BOJACK'}, {'role': 'BOJACK ON TV', 'source_para': 95, 'tokens': 12, 'chunk': 0}, {'role': 'BOJACK', 'source_para': 96, 'chunk': 0, 'tokens': 19}, {'role': 'TODD', 'chunk': 0, 'tokens': 35, 'source_para': 495}]",Character Identity & Core Facts,"['BOJACK: Yeah, but do you get it, though? Because ""nay"" means no, but it\'s also a thing that horses say.']",False,0,0,0.26690518856048584,0,0.0,0.39751192927360535
58,How many beers are visible when the camera pans out in BoJack's living room?,48 beers and a tapped keg.,Camera pans out to show 48 beers and a tapped keg,48 beers are visible when the camera pans out in BoJack's living room.,"['Camera pans out to show 48 beers and a tapped keg', ""Bojack is drinking a beer and watching a rerun of 'Horsin' Around; his cell phone rings and he ignores it"", 'In Bojacks house', 'BOJACK: Todd, I weigh over 1,200 pounds. It takes a lot of beer to get me drunk.', 'BOJACK: Whoa, whoa, whoa, wait a second. You drank all my beer? Also, you two are dating?']","[{'tokens': 13, 'chunk': 0, 'role': 'UNKNOWN', 'source_para': 108}, {'chunk': 0, 'role': 'UNKNOWN', 'source_para': 91, 'tokens': 27}, {'chunk': 0, 'role': 'UNKNOWN', 'tokens': 5, 'source_para': 41}, {'role': 'BOJACK', 'tokens': 26, 'source_para': 107, 'chunk': 0}, {'source_para': 446, 'chunk': 0, 'role': 'BOJACK', 'tokens': 30}]",Character Identity & Core Facts,['Camera pans out to show 48 beers and a tapped keg'],False,1,1,1.0,0,0.21052631578947367,0.5336490869522095
59,Who is Lenny Turteltaub?,A turtle sitting with two attractive women (a producer/industry person).,CAROLYN: Stop embarrassing me. That is Lenny Turteltaub.,"Lenny Turteltaub is not directly stated in the context, but it appears to be a reference to Lennox ""Lenny"" Boykoff's father, Lennox, also known as a character named Lenny Boykoff's father which is a character from the TV show 'The Brady Bunch'.","['CAROLYN: Stop embarrassing me. That is Lenny Turteltaub.', 'BOJACK: What guy?', 'DIANE: Hey, do you know the story of the dad from The Brady Bunch?', 'CAROLYN: BoJack.', 'Quinceanera']","[{'role': 'CAROLYN', 'tokens': 17, 'source_para': 117, 'chunk': 0}, {'tokens': 7, 'chunk': 0, 'role': 'BOJACK', 'source_para': 402}, {'role': 'DIANE', 'source_para': 420, 'chunk': 0, 'tokens': 19}, {'tokens': 7, 'source_para': 235, 'chunk': 0, 'role': 'CAROLYN'}, {'role': 'UNKNOWN', 'chunk': 0, 'source_para': 382, 'tokens': 4}]",Character Identity & Core Facts,['CAROLYN: Stop embarrassing me. That is Lenny Turteltaub.'],False,1,1,1.0000001192092896,0,0.038461538461538464,-0.010555759072303772
60,What joke does Lenny Turteltaub make to the women?,"""Slow and steady.""","TURTLETAUB: Slow and steady, am I right, ladies?",The context does not mention Lenny Turteltaub making a joke to the women. It is actually BoJack who makes a joke and has an orgasmic reaction to it.,"['CAROLYN: Stop embarrassing me. That is Lenny Turteltaub.', 'On tv out of context we see Bojack hold up a donut. He has an orgasm to the punchline  of his joke', 'BOJACK: [laughs] ""Neigh way, Jose."" I improvised that line.', ""BOJACK: This lady probably thinks I'm just some dumb sitcom actor."", ""MR. PEANUTBUTTER: Hey, man, wanted to let you know, you are out of beer. Oh, I see you've met my beautiful girlfriend, Diane Nguyen.""]","[{'source_para': 117, 'chunk': 0, 'role': 'CAROLYN', 'tokens': 17}, {'tokens': 27, 'role': 'UNKNOWN', 'source_para': 131, 'chunk': 0}, {'role': 'BOJACK', 'tokens': 19, 'source_para': 96, 'chunk': 0}, {'source_para': 315, 'role': 'BOJACK', 'tokens': 16, 'chunk': 0}, {'role': 'UNKNOWN', 'source_para': 445, 'tokens': 39, 'chunk': 0}]",Character Identity & Core Facts,"['TURTLETAUB:  Slow and steady, am I right, ladies? [girls giggle] Ha-cha-cha.']",False,0,0,0.3058651089668274,0,0.06451612903225806,0.10780911147594452
61,What is BoJack's complaint about the bread at the fancy diner?,"He isn't crazy about it, yet he keeps eating it.","BOJACK: You know, I am not crazy about the bread here. Mm. Why do I keep eating it?","BoJack is complaining that the bread is not free, as it typically is at pre-meal.","['BOJACK: You know, I am not crazy about the bread here.', ""BOJACK: Fine. But I'm going to tell them that pre-meal bread should be free, and that's the real headline."", 'Bojack grabs another piece of bread', ""BOJACK: I don't want to live in a society where the pre-meal bread isn't free."", ""BOJACK: Yeah, but I didn't even eat that much bread. What did I have? I must have had-""]","[{'tokens': 16, 'source_para': 118, 'chunk': 0, 'role': 'BOJACK'}, {'tokens': 29, 'chunk': 0, 'role': 'BOJACK', 'source_para': 511}, {'source_para': 122, 'role': 'UNKNOWN', 'tokens': 7, 'chunk': 0}, {'source_para': 196, 'chunk': 0, 'role': 'BOJACK', 'tokens': 23}, {'chunk': 0, 'tokens': 26, 'source_para': 199, 'role': 'BOJACK'}]",Character Identity & Core Facts,"['BOJACK: You know, I am not crazy about the bread here.', 'Mm. Why do I keep eating it?']",True,1,1,1.0,0,0.0,0.23540747165679932
62,Which actress did BoJack mix up with Carey Mulligan?,Emily Mortimer.,"BOJACK: Everyone gets a mulligan, and my mulligan was Carey Mulligan. ... It was Emily Mortimer.","There is not enough information in the context to determine which actress BoJack mixed up with Carey Mulligan. The context only shows BoJack's thoughts and conversation, but it doesn't mention Carey Mulligan or any other actress besides a generic ""that is"" referring to someone he can't remember.","[""BOJACK: She's cute."", 'BOJACK: Ugh, you know who that is?', ""BOJACK: This lady probably thinks I'm just some dumb sitcom actor."", 'BOJACK: But in a sexual way.', 'BOJACK: You have seen her naked.']","[{'role': 'BOJACK', 'source_para': 285, 'chunk': 0, 'tokens': 8}, {'tokens': 13, 'source_para': 414, 'chunk': 0, 'role': 'BOJACK'}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 16, 'source_para': 315}, {'chunk': 0, 'tokens': 10, 'role': 'BOJACK', 'source_para': 463}, {'chunk': 0, 'source_para': 457, 'tokens': 10, 'role': 'BOJACK'}]",Character Identity & Core Facts,"['BOJACK: What? Everyone gets a mulligan, and my mulligan was Carey Mulligan.']",False,0,0,0.2373598963022232,0,0.0,0.3100021481513977
63,What has BoJack done with his book advance?,He already spent it.,"BOJACK: Well, I already spent my advance, so that's a first step.","The context does not mention what BoJack has done with his book advance. The conversation mentions BoJack's ability to write a book, but it does not provide any information about what happened to the book advance.","['BOJACK: What actions?', 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: Do I know his story? If I recall correctly, he was bringing up three boys of his own.', 'BOJACK: Why did I say I could write a book?']","[{'role': 'BOJACK', 'source_para': 146, 'tokens': 7, 'chunk': 0}, {'tokens': 6, 'role': 'BOJACK', 'source_para': 184, 'chunk': 0}, {'tokens': 6, 'chunk': 0, 'role': 'BOJACK', 'source_para': 223}, {'chunk': 0, 'source_para': 421, 'tokens': 25, 'role': 'BOJACK'}, {'chunk': 0, 'role': 'BOJACK', 'source_para': 291, 'tokens': 14}]",Plot & Motivation,"[""BOJACK: Well, I already spent my advance, so that's a first step.""]",False,0,0,0.13502532243728638,0,0.0,0.1601366251707077
64,What caused the car crash involving BoJack?,"A woman with a stroller (a baby) appeared, spooking him.","ENT: The sidewalk, a woman with a stroller appears ... Bojack gets 'spooked' and begins to panic","The context doesn't explicitly state what caused the car crash involving BoJack. However, based on the sounds and events described, it can be inferred that the crash was likely caused by BoJack's reckless behavior, possibly involving speeding (tires squealing, engine revving), and possibly reckless driving or loss of control (tires screeching, loud crash).","['BOJACK: What? What? What? No, no, wha [horn honks] [glass shatters] [car door opens and closes] [engine turns over] [tires squealing] [glass shattering] [engine revving] [tires screeching] [loud crash] [sirens blaring]', 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: What actions?', ""BOJACK: Oh, everything's my fault.""]","[{'tokens': 72, 'source_para': 150, 'role': 'BOJACK', 'chunk': 0}, {'role': 'BOJACK', 'source_para': 184, 'tokens': 6, 'chunk': 0}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 6, 'source_para': 223}, {'tokens': 7, 'chunk': 0, 'source_para': 146, 'role': 'BOJACK'}, {'tokens': 11, 'source_para': 225, 'chunk': 0, 'role': 'BOJACK'}]",Plot & Motivation,"['ENT: The sidewalk, a woman with a stroller appears']",False,0,0,0.006828991696238518,0,0.0,0.20396441221237183
65,What did BoJack tell the cop he was running away from?,His girlfriend whom he doesn't respect enough to have a baby with.,BOJACK: I was running away from my girlfriend whom I don't respect enough to have a baby with.,"The context doesn't explicitly state what BoJack was running away from. However, since BoJack's response to the officer is a series of questions and denials (""No, no, no. Misunderstanding, officer.""), it can be inferred that BoJack is trying to deflect or deny involvement in something, but the specifics are not provided.","['BOJACK: No, no, no. Misunderstanding, officer.', 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: What actions?', 'BOJACK: What guy?']","[{'source_para': 152, 'chunk': 0, 'role': 'BOJACK', 'tokens': 16}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 6, 'source_para': 184}, {'role': 'BOJACK', 'source_para': 223, 'chunk': 0, 'tokens': 6}, {'role': 'BOJACK', 'tokens': 7, 'chunk': 0, 'source_para': 146}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 7, 'source_para': 402}]",Relationship Dynamics,"[""I was running away from my girlfriend whom I don't respect enough to have a baby with.""]",False,0,0,0.16957496106624603,0,0.09523809523809523,0.12092369794845581
66,Does BoJack admit to being afraid of commitment?,"No, he says he commits all the time, but has an issue with following through.",BOJACK: I'm not afraid of commitment. I commit to things all the time. It's the following through on that commitment that I take issue with.,"No, BoJack does not admit to being afraid of commitment. In fact, he says the opposite: ""I'm not afraid of commitment.""","[""BOJACK: I'm not afraid of commitment. I commit to things all the time."", ""BOJACK: You're dating him?"", 'BOJACK: You are attracted to this?', 'BOJACK: You are going out with you?', 'BOJACK: No?']","[{'chunk': 0, 'source_para': 158, 'tokens': 19, 'role': 'BOJACK'}, {'source_para': 448, 'chunk': 0, 'role': 'BOJACK', 'tokens': 9}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 10, 'source_para': 459}, {'chunk': 0, 'tokens': 11, 'role': 'BOJACK', 'source_para': 453}, {'source_para': 437, 'role': 'BOJACK', 'tokens': 6, 'chunk': 0}]",Internal Context & Emotional State,"[""BOJACK: I'm not afraid of commitment. I commit to things all the time. It's the following through on that commitment that I take issue with.""]",False,0,0,0.9774852395057678,0,0.2222222222222222,0.3367463946342468
67,What catchphrase does Mr. Peanutbutter use when seeing BoJack?,"""What is this, a crossover episode?""","MR. PEANUTBUTTER: Mr. Peanutbutter and BoJack Horseman in the same room. What is this, a crossover episode?",The context does not show Mr. Peanutbutter using a catchphrase when seeing BoJack. It shows Mr. Peanutbutter expressing shock and concern about seeing BoJack.,"['MR. PEANUTBUTTER: BoJack!', 'MR. PEANUTBUTTER: BoJack! Oh, good Lord.', 'BOJACK: Hey, Mr. Peanutbutter.', 'MR. PEANUTBUTTER: Is that BoJack Horseman?', ""BOJACK: Peanutbutter? God, I hope he doesn't see us.""]","[{'source_para': 443, 'chunk': 0, 'tokens': 12, 'role': 'UNKNOWN'}, {'role': 'UNKNOWN', 'chunk': 0, 'source_para': 390, 'tokens': 17}, {'chunk': 0, 'source_para': 391, 'tokens': 12, 'role': 'BOJACK'}, {'role': 'UNKNOWN', 'tokens': 16, 'chunk': 0, 'source_para': 162}, {'tokens': 18, 'source_para': 161, 'chunk': 0, 'role': 'BOJACK'}]",Relationship Dynamics,"['MR. PEANUTBUTTER: Mr. Peanutbutter and BoJack Horseman in the same room. What is this, a crossover episode?']",False,0,0,0.7327582836151123,0,0.06666666666666667,0.1931302547454834
